subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,3,VW,BEAR,4,1591,0.1052,0.0563
trend,fwd,3,VW,BEAR,5,1550,0.2032,0.0929
trend,fwd,3,VW,BEAR,6,1632,0.2529,0.0795
trend,fwd,3,VW,BEAR,7,1591,0.1862,0.0009
trend,fwd,3,VW,BEAR,8,1577,-0.2588,-0.0618
trend,fwd,3,VW,BEAR,9,1605,-0.0005,-0.0569
trend,fwd,3,VW,BEAR,10,1536,-0.0119,0.1162
trend,fwd,5,EW,BEAR,1,1632,0.9178,0.4366
trend,fwd,5,EW,BEAR,2,1605,0.2071,0.1218
trend,fwd,5,EW,BEAR,3,1577,0.2633,0.0281
trend,fwd,5,EW,BEAR,4,1591,0.1253,0.1214
trend,fwd,5,EW,BEAR,5,1550,0.168,0.1848
trend,fwd,5,EW,BEAR,6,1632,0.1114,0.114
trend,fwd,5,EW,BEAR,7,1591,0.0361,-0.0581
trend,fwd,5,EW,BEAR,8,1577,-0.1436,-0.082
trend,fwd,5,EW,BEAR,9,1605,-0.135,-0.0473
trend,fwd,5,EW,BEAR,10,1536,0.0104,0.2178
trend,fwd,5,VW,BEAR,1,1632,2.4795,0.4366
trend,fwd,5,VW,BEAR,2,1605,0.256,0.1218
trend,fwd,5,VW,BEAR,3,1577,0.3698,0.0281
trend,fwd,5,VW,BEAR,4,1591,-0.2233,0.1214
trend,fwd,5,VW,BEAR,5,1550,0.3249,0.1848
trend,fwd,5,VW,BEAR,6,1632,0.3725,0.114
trend,fwd,5,VW,BEAR,7,1591,0.0612,-0.0581
trend,fwd,5,VW,BEAR,8,1577,-0.4226,-0.082
trend,fwd,5,VW,BEAR,9,1605,0.0238,-0.0473
trend,fwd,5,VW,BEAR,10,1536,-0.0523,0.2178
trend,fwd,10,EW,BEAR,1,1632,1.4985,0.8842
trend,fwd,10,EW,BEAR,2,1605,0.1781,0.0089
trend,fwd,10,EW,BEAR,3,1577,0.3363,0.3217
trend,fwd,10,EW,BEAR,4,1591,-0.1056,-0.168
trend,fwd,10,EW,BEAR,5,1550,0.05,0.0418
trend,fwd,10,EW,BEAR,6,1632,0.167,0.2995
trend,fwd,10,EW,BEAR,7,1591,-0.0503,-0.2208
trend,fwd,10,EW,BEAR,8,1577,-0.2352,-0.148
trend,fwd,10,EW,BEAR,9,1605,-0.2803,0.0313
trend,fwd,10,EW,BEAR,10,1536,0.053,0.4504
trend,fwd,10,VW,BEAR,1,1632,2.8785,0.8842
trend,fwd,10,VW,BEAR,2,1605,0.2721,0.0089
trend,fwd,10,VW,BEAR,3,1577,0.4772,0.3217
trend,fwd,10,VW,BEAR,4,1591,-0.6574,-0.168
trend,fwd,10,VW,BEAR,5,1550,0.4013,0.0418
trend,fwd,10,VW,BEAR,6,1632,0.4669,0.2995
trend,fwd,10,VW,BEAR,7,1591,-0.1789,-0.2208
trend,fwd,10,VW,BEAR,8,1577,-0.6376,-0.148
trend,fwd,10,VW,BEAR,9,1605,-0.0495,0.0313
trend,fwd,10,VW,BEAR,10,1536,-0.0659,0.4504
trend,fwd,21,EW,BEAR,1,1632,2.7291,2.3478
trend,fwd,21,EW,BEAR,2,1605,1.0453,0.6744
trend,fwd,21,EW,BEAR,3,1577,1.3526,1.3539
trend,fwd,21,EW,BEAR,4,1591,0.58,0.8033
trend,fwd,21,EW,BEAR,5,1550,0.9065,1.2164
trend,fwd,21,EW,BEAR,6,1632,1.0562,0.9129
trend,fwd,21,EW,BEAR,7,1591,0.7233,0.6251
trend,fwd,21,EW,BEAR,8,1577,0.8867,1.1091
trend,fwd,21,EW,BEAR,9,1605,0.2218,0.6274
trend,fwd,21,EW,BEAR,10,1536,0.6187,1.1086
trend,fwd,21,VW,BEAR,1,1632,3.7872,2.3478
trend,fwd,21,VW,BEAR,2,1605,1.7598,0.6744
trend,fwd,21,VW,BEAR,3,1577,1.6641,1.3539
trend,fwd,21,VW,BEAR,4,1591,-0.0799,0.8033
trend,fwd,21,VW,BEAR,5,1550,0.6516,1.2164
trend,fwd,21,VW,BEAR,6,1632,0.9702,0.9129
trend,fwd,21,VW,BEAR,7,1591,-0.4433,0.6251
trend,fwd,21,VW,BEAR,8,1577,-0.4461,1.1091
trend,fwd,21,VW,BEAR,9,1605,0.1928,0.6274
trend,fwd,21,VW,BEAR,10,1536,0.422,1.1086
trend,fwd,63,EW,BEAR,1,1564,12.1308,11.9136
trend,fwd,63,EW,BEAR,2,1537,9.6508,8.0431
trend,fwd,63,EW,BEAR,3,1509,9.822,9.471
trend,fwd,63,EW,BEAR,4,1527,8.7065,8.754
trend,fwd,63,EW,BEAR,5,1482,8.5795,9.1363
trend,fwd,63,EW,BEAR,6,1564,10.1012,8.883
trend,fwd,63,EW,BEAR,7,1527,8.7218,6.992
trend,fwd,63,EW,BEAR,8,1509,7.9442,6.863
trend,fwd,63,EW,BEAR,9,1537,7.0399,5.9389
trend,fwd,63,EW,BEAR,10,1472,5.7544,6.1697
trend,fwd,63,VW,BEAR,1,1564,17.9981,11.9136
trend,fwd,63,VW,BEAR,2,1537,6.3677,8.0431
trend,fwd,63,VW,BEAR,3,1509,7.7766,9.471
trend,fwd,63,VW,BEAR,4,1527,7.5117,8.754
trend,fwd,63,VW,BEAR,5,1482,6.1767,9.1363
trend,fwd,63,VW,BEAR,6,1564,7.7356,8.883
trend,fwd,63,VW,BEAR,7,1527,5.911,6.992
trend,fwd,63,VW,BEAR,8,1509,4.5314,6.863
trend,fwd,63,VW,BEAR,9,1537,6.6232,5.9389
trend,fwd,63,VW,BEAR,10,1472,4.0573,6.1697
trend,fwd,1,EW,SIDEWAYS,1,5830,0.0357,0
trend,fwd,1,EW,SIDEWAYS,2,5721,-0.0161,-0.0136
trend,fwd,1,EW,SIDEWAYS,3,5722,0.0345,0.0127
trend,fwd,1,EW,SIDEWAYS,4,5604,-0.0179,0.0284
trend,fwd,1,EW,SIDEWAYS,5,5663,0.0182,0.0076
trend,fwd,1,EW,SIDEWAYS,6,5781,0.0601,0.0525
trend,fwd,1,EW,SIDEWAYS,7,5638,0.0048,-0.0073
trend,fwd,1,EW,SIDEWAYS,8,5688,0.0575,0.0144
trend,fwd,1,EW,SIDEWAYS,9,5755,0.0747,0.0557
trend,fwd,1,EW,SIDEWAYS,10,5497,0.0261,0.0231
trend,fwd,1,VW,SIDEWAYS,1,5830,-0.0474,0
trend,fwd,1,VW,SIDEWAYS,2,5721,0.0348,-0.0136
trend,fwd,1,VW,SIDEWAYS,3,5722,0.0367,0.0127
trend,fwd,1,VW,SIDEWAYS,4,5604,-0.0333,0.0284
trend,fwd,1,VW,SIDEWAYS,5,5663,0.0394,0.0076
trend,fwd,1,VW,SIDEWAYS,6,5781,0.057,0.0525
trend,fwd,1,VW,SIDEWAYS,7,5638,-0.0045,-0.0073
trend,fwd,1,VW,SIDEWAYS,8,5688,0.0294,0.0144
trend,fwd,1,VW,SIDEWAYS,9,5755,0.0604,0.0557
trend,fwd,1,VW,SIDEWAYS,10,5497,0.021,0.0231
trend,fwd,3,EW,SIDEWAYS,1,5796,0.0094,0
trend,fwd,3,EW,SIDEWAYS,2,5687,-0.039,-0.0841
trend,fwd,3,EW,SIDEWAYS,3,5688,-0.0046,-0.0053
